Inserts,Collisions,Total Load,Load Factor (%),Length of Avg Probe Sequence,Number of Slots
200,88,200,78.125,4.863636,256
400,159,399,79.93,4.09434,512
600,195,596,58.203,2.984615,1024
800,291,788,76.953,3.786942,1024
1000,427,982,95.898,18.482436,1024
1200,334,1176,57.422,2.464072,2048
1400,476,1369,66.846,3.232101,2048
1600,610,1561,76.221,4.631148,2048
1800,737,1753,85.596,8.531886,2048
2000,857,1934,94.434,10.653442,2048
2200,495,2124,51.855,2.024242,4096
2400,585,2292,55.957,2.194872,4096
2600,719,2499,61.011,2.499305,4096
2800,816,2691,65.698,2.726716,4096
3000,977,2861,69.849,2.96827,4096
3200,1085,3068,74.902,3.608295,4096
3400,1196,3211,78.394,4.075251,4096
3600,1358,3415,83.374,5.494109,4096
3800,1508,3586,87.549,7.004642,4096
4000,1640,3753,91.626,11.20061,4096
